acronym;title;rank
WASPAA;IEEE Workshop on Applications of Signal Processing to Audio and Acoustics;B
WAW;Workshop on Algorithms and Models for the Web Graph;
WBC;Web Based Communities;
WBIR;Workshop on Biomedical Image Registration;
WCAE;Workshop on Computer Architecture Education;
WCCI;World Congress on Computational Intelligence;
WCE;World Congress on Engineering;
WCET;Worst-Case Execution Time Analysis;
WCICA;World Congress on Intelligent Control and Automation;
WCNC;IEEE Wireless and Communications and Networking Conference;A-
WCO;Workshop on Computational Optimization;
WCPEC;IEEE World Conference on Photovoltaic Energy Conference;
WCPS;Workshop on Cyber-Physical Systems;
WCRE;IEEE Working Conference on Reverse Engineering;A-
WCSP;International Conference on Wireless Communications and Signal Processing;
WD;Ifip Wireless Days;
WDAG;International Workshop on Distributed Algorithms;
WEA;International Workshop on Efficient Algorithms;
WEB3D;International Conference on 3D Web Technology;
WEBDB;International Workshop on the Web and Databases;B
WEBIST;International Conference on Web Information Systems and Technologies;
WEBKDD;Web Mining and Web Usage Analysis;
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;
WEBNET;World Conference on Www and Internet;
WEBSCI;Web Science;
WECWIS;International Workshop on Advanced Issues of E-Commerce and Web-Based Information Systems. Wecwis;
WEMDCD;IEEE Workshop on Electrical Machines Design, Control and Diagnosis;
WER;Workshop De Engenharia De Requisitos;
WETICE;IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises;B-
WFCS;International Workshop on Factory Communication Systems;
WFLP;International Workshop on Functional and (Constraint) Logic Programming;
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;B
WHC;World Haptics Conference;
WHISPERS;Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing;
WHM;Workshop on Human Motion;
WIAMIS;Workshop on Image Analysis for Multimedia Interactive Services;
WICOM;International Conference on Wireless Communications, Networking and Mobile Computing;
WICON;International Conference on Wireless Internet;
WICT;World Congress on Information and Communication Technologies;
WIDM;Web Information and Data Management;
WIFS;International Workshop on Information Forensics and Security;
WILF;International Workshop on Fuzzy Logic and Applications;
WIMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;B
WIMS;Web Intelligence, Mining and Semantics;
WINCOM;International Conference on Wireless Networks and Mobile Communications;
WINE;Workshop on Internet and Network Economics;
WINTECH;Workshop on Wireless Network Testbeds, Experimental Evaluation & Characterization;
WIOPT;International Symposium on Modeling and Optimization in Mobile Ad Hoc and Wireless Networks;B
WIPDA;IEEE Workshop on Wide Bandgap Power Devices and Applications;
WIPSCE;Workshop in Primary and Secondary Computing Education;
WIRELESS VITAE;International Conference on Wireless Communication, Vehicular Technology, Information Theory and Aerospace & Electronic Systems Technology;
WISA;International Workshop on Information Security Applications;
WISE;International Conference on Web Information Systems Engineering;B
WISEC;Wireless Network Security;A-
WISTP;International Conference Information Security Theory and Practice;
WMASH;Wireless Mobile Applications and Services on Wlan Hotspots;
WMC;International Workshop on Mobile Commerce;
WMNC;Joint Ifip Wireless and Mobile Networking Conference;
WMS;ACM Workshop on Multimedia and Security;
WMSCI;World Multi-Conference on Systemics, Cybernetics and Informatics;
WMTE;IEEE International Workshop on Wireless and Mobile Technologies in Education;
WMUTE;Wireless, Mobile and Ubiquitous Technologies in Education;
WOCC;Annual Wireless and Optical Communications Conference;
WOCN;Ifip International Conference on Wireless and Optical Communications Networks;
WODA;International Workshop on Dynamic Analysis;
WOLLIC;Workshop on Logic, Language, Information and Computation;
WONS;International Conference on Wireless on Demand Network Systems and Service;
WOOT;Workshop on Object-Oriented Technology;
WORDS;IEEE International Workshop on Object-Oriented Real-Time Dependable Systems;
WORKS;Workflows in Support of Large-Scale Science;
WORLDCIST;World Conference on Information Systems and Technologies;
WORLDCOMP;World Congress in Computer Science, Computer Engineering, and Applied Computing;
WOSN;Workshop on Online Social Networks;
WOSP;Workshop on Software and Performance;
WOSS;Workshop on Self-Healing Systems;
WOWMOM;IEEE International Symposium on A World of Wireless, Mobile and Multimedia Networks;B-
WPES;Workshop on Privacy in the Electronic Society;
WPMC;Wireless Personal Multimedia Communications;
WPNC;Workshop on Positioning Navigation and Communication;
WPTC;IEEE Wireless Power Transfer Conference;
WPUI;Workshop on Perceptive User Interfaces;
WSA;International Itg Workshop on Smart Antennas;
WSADTJCOMPASSWRTDTS;Workshop on Specification of Abstract Data Types Joint With Compass Workshop on Recent Trends in Data Type Specification;
WSC;Winter Simulation Conference;A-
WSCG;International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision;
WSDM;ACM International Conference on Web Search and Data Mining;A+
WSE;IEEE International Symposium on Web Systems Evolution;
WSMT;Workshop on Statistical Machine Translation;
WSOM;Workshop on Self-Organizing Maps;
WTEC;Usenix Winter Technical Conference;
WTS;Wireless Telecommunications Symposium;
WUWNET;International Conference on Underwater Networks;
WWIC;Wired/Wireless Internet Communications;
WWW;International World Wide Web Conference;A++
XP;Agile Conference;B
XSYM;International Xml Database Symposium;
